"ipm_id","state_variable","domain","lower","upper","kernel_id","notes"
"aaaa15","leafarea","leafarea_all",0.57,11.9,"K; P; F",NA
"aaaa16","leafarea","leafarea_all",0.78,11.07,"K; P; F",NA
"aaaa17","size","size_all",0,15,"K_yr; P_yr; F_yr",NA
"aaaa18","size","size_all",0,15,"K_yr; P_yr; F_yr",NA
"aaaa19","size","size_all",0,15,"K_yr; P_yr; F_yr",NA
"aaaa20","size","size_all",0,15,"K_yr; P_yr; F_yr",NA
"aaaa24","size","size_most",0,7.6004023345004,"K_le; P_le; inBG_le",NA
"aaaa25","size","size_most",0,7.6004023345004,"K_le; P_le; inBG_le",NA
"aaaa26","size","size_most",0,7.6004023345004,"K_le; P_le; inBG_le",NA
"aaaa27","size","size_most",0,7.6004023345004,"K_le; P_le; inBG_le",NA
"aaaa28","size","size_most",0,7.6004023345004,"K_le; P_le; inBG_le",NA
"aaaa29","size","size_most",0,7.6004023345004,"K_le; P_le; inBG_le",NA
"aaaa30","size","size_most",0,7.6004023345004,"K_le; P_le; inBG_le",NA
"aaaa31","size","size_most",0,7.6004023345004,"K_le; P_le; inBG_le",NA
"aaaa32","size","size_most",0,7.6004023345004,"K_le; P_le; inBG_le",NA
"aaaa35","lnsize","lnsize_all",0,5,"K; P; F",NA
"aaaa36","lnsize","lnsize_all",0,5,"K; P; F",NA
"aaaa37","lnsize","lnsize_all",0,5,"K; P; F",NA
"aaaa38","nleaves","nleaves_all",0.9,36.3,"K_yr_pl; P_yr_pl; F_yr_pl",NA
"aaaa39","nleaves","nleaves_all",0.9,69.3,"K_yr_pl; P_yr_pl; F_yr_pl",NA
"aaaa41","nleaves","nleaves_all",0.9,69.3,"K_yr_pl; P_yr_pl; F_yr_pl",NA
"aaaa42","nleaves","nleaves_all",0.9,60.5,"K_yr_pl; P_yr_pl; F_yr_pl",NA
"aaaa43","nleaves","nleaves_all",0.9,40.7,"K_yr_pl; P_yr_pl; F_yr_pl",NA
"aaaa44","nleaves","nleaves_all",0.9,79.2,"K_yr_pl; P_yr_pl; F_yr_pl",NA
"aaaa46","nleaves","nleaves_all",0.9,150.7,"K_yr_pl; P_yr_pl; F_yr_pl",NA
"aaaa47","nleaves","nleaves_all",0.9,145.2,"K_yr_pl; P_yr_pl; F_yr_pl",NA
"aaaa49","nleaves","nleaves_all",0.9,148.5,"K_yr_pl; P_yr_pl; F_yr_pl",NA
"aaaa50","nleaves","nleaves_all",0.9,96.9,"K_yr_pl; P_yr_pl; F_yr_pl",NA
"aaaa52","nleaves","nleaves_all",0.9,67.1,"K_yr_pl; P_yr_pl; F_yr_pl",NA
"aaaa53","nleaves","nleaves_all",0.9,105.6,"K_yr_pl; P_yr_pl; F_yr_pl",NA
"aaaa55","lnsize","lnsize_all",-5.282196,17.20633,"K_all_yr; K_yr; P_yr; F_yr; B1C_yr; B2C_yr",NA
"aaaa59","logarea","logarea_alll",2,25,"K; P; F",NA
"aaaa61","size","size_all",2,55,"K; P; F",NA
"aaaa62","size","size_all",2,55,"K; P; F",NA
"aaaa63","size","size_all",2,55,"K; P; F",NA
"aaaa64","size","size_all",2,55,"K; P; F",NA
"aaaa65","size","size_all",2,55,"K; P; F",NA
"aaaa66","size","size_all",2,55,"K; P; F",NA
"aaaa67","size","size_all",2,55,"K; P; F",NA
"aaaa68","size","size_all",2,55,"K; P; F",NA
"aaaa69","size","size_all",2,55,"K; P; F",NA
