"ipm_id","state_variable","model_name"
"aaaa24","biggest","biggest"
"aaaa25","biggest","biggest"
"aaaa26","biggest","biggest"
"aaaa27","biggest","biggest"
"aaaa28","biggest","biggest"
"aaaa29","biggest","biggest"
"aaaa30","biggest","biggest"
"aaaa31","biggest","biggest"
"aaaa32","biggest","biggest"
"aaaa55","seedbank","SB1"
"aaaa55","seedbank","SB2"
"aaa313","seedbank","seedbank"
"aaa313","seedling","seedling"
"aaa314","seedbank","seedbank"
"aaa314","seedling","seedling"
"aaa315","seedbank","seedbank"
"aaa315","seedling","seedling"
"aaa317","seedbank","seedbank"
"aaa317","seedling","seedling"
"aaa339","seeds","seeds"
"aaa340","seeds","seeds"
"aaa346","seedbank","SB1"
"aaa346","seedbank","SB2"
"aaa346","seedling","seedling"
"aaa347","seedbank","SB1"
"aaa347","seedbank","SB2"
"aaa347","seedling","seedling"
"aaa348","seedbank","SB1"
"aaa348","seedbank","SB2"
"aaa348","seedling","seedling"
