"ipm_id","env_variable","vr_expr_name","env_range","env_function","model_type"
"aaaa15","LightLevel","j","NULL","sample(j_seq)","Substituted"
"aaaa15","LightLevel","j_seq","1:5","NULL","Parameter"
"aaaa15","A_max","A_max","NULL","Unif(a_max_low, a_max_high)","Substituted"
"aaaa15","A_max","a_max_low","5","NULL","Parameter"
"aaaa15","A_max","a_max_high","7","NULL","Parameter"
"aaaa16","LightLevel","j","NULL","sample(j_seq)","Substituted"
"aaaa16","LightLevel","j_seq","1:5","NULL","Parameter"
"aaaa16","A_max","A_max","NULL","Unif(a_max_low, a_max_high)","Substituted"
"aaaa16","A_max","a_max_low","5","NULL","Parameter"
"aaaa16","A_max","a_max_high","8","NULL","Parameter"
"aaaa59","Lux","par_low","0.1","NULL","Parameter"
"aaaa59","Lux","par_high","0.57999999999999996","NULL","Parameter"
"aaaa59","Lux","PAR","NULL","Unif(par_low, par_high)","Substituted"
"aaaa59","NitrificationRate","ni_low","0.02","NULL","Parameter"
"aaaa59","NitrificationRate","ni_high","2.64","NULL","Parameter"
"aaaa59","NitrificationRate","Ni","NULL","Unif(ni_low, ni_high)","Substituted"
"aaaa59","AveragepH","ph_low","4.22","NULL","Parameter"
"aaaa59","AveragepH","ph_high","6.8","NULL","Parameter"
"aaaa59","AveragepH","pH","NULL","Unif(ph_low, ph_high)","Substituted"
"aaaa59","MeanTempWarmestMonth","wrm_mt_low","19.39","NULL","Parameter"
"aaaa59","MeanTempWarmestMonth","wrm_mt_high","22.39","NULL","Parameter"
"aaaa59","MeanTempWarmestMonth","mt_warm_month","NULL","Unif(wrm_mt_low, wrm_mt_high)","Substituted"
"aaaa59","MeanprecipitationMay","mp_may_low","71.040000000000006","NULL","Parameter"
"aaaa59","MeanprecipitationMay","mp_may_high","105.63","NULL","Parameter"
"aaaa59","MeanprecipitationMay","mp_may","NULL","Unif(mp_may_low, mp_may_high)","Substituted"
