"ipm_id"	"state_variable"	"domain"	"n_meshpoints"	"integration_rule"	"kernel_id"
"aaaa15"	"leafarea"	"leafarea_all"	50	"midpoint"	"K; P; F"
"aaaa16"	"leafarea"	"leafarea_all"	50	"midpoint"	"K; P; F"
"aaaa17"	"size"	"size_all"	100	"midpoint"	"Y; P_yr; F_yr"
"aaaa18"	"size"	"size_all"	100	"midpoint"	"Y; P_yr; F_yr"
"aaaa19"	"size"	"size_all"	100	"midpoint"	"Y; P_yr; F_yr"
"aaaa20"	"size"	"size_all"	100	"midpoint"	"Y; P_yr; F_yr"
"aaaa21"	"size"	"size_all"	500	"midpoint"	"P_hstSp_clone; F_hstSp_clone; C_hstSp_clone"
"aaaa23"	"size"	"size_all"	45	"midpoint"	"K_yr; P_yr; F_yr"
"aaaa24"	"size"	"size_most"	299	"midpoint"	"K_le; P_le; inBG_le; stayBG_le"
"aaaa25"	"size"	"size_most"	299	"midpoint"	"K_le; P_le; inBG_le; stayBG_le"
"aaaa26"	"size"	"size_most"	299	"midpoint"	"K_le; P_le; inBG_le; stayBG_le"
"aaaa27"	"size"	"size_most"	299	"midpoint"	"K_le; P_le; inBG_le; stayBG_le"
"aaaa28"	"size"	"size_most"	299	"midpoint"	"K_le; P_le; inBG_le; stayBG_le"
"aaaa29"	"size"	"size_most"	299	"midpoint"	"K_le; P_le; inBG_le; stayBG_le"
"aaaa30"	"size"	"size_most"	299	"midpoint"	"K_le; P_le; inBG_le; stayBG_le"
"aaaa31"	"size"	"size_most"	299	"midpoint"	"K_le; P_le; inBG_le; stayBG_le"
"aaaa32"	"size"	"size_most"	299	"midpoint"	"K_le; P_le; inBG_le; stayBG_le"
"aaaa34"	"lnsize"	"lnsize_all"	500	"midpoint"	"K; P; F"
"aaaa35"	"lnsize"	"lnsize_all"	500	"midpoint"	"K; P; F"
"aaaa36"	"lnsize"	"lnsize_all"	500	"midpoint"	"K; P; F"
"aaaa37"	"lnsize"	"lnsize_all"	500	"midpoint"	"K; P; F"
"aaaa38"	"nleaves"	"nleaves_all"	100	"midpoint"	"K_yr_pl; P_yr_pl; F_yr_pl"
"aaaa39"	"nleaves"	"nleaves_all"	100	"midpoint"	"K_yr_pl; P_yr_pl; F_yr_pl"
"aaaa40"	"nleaves"	"nleaves_all"	100	"midpoint"	"K_yr_pl; P_yr_pl; F_yr_pl"
"aaaa41"	"nleaves"	"nleaves_all"	100	"midpoint"	"K_yr_pl; P_yr_pl; F_yr_pl"
"aaaa42"	"nleaves"	"nleaves_all"	100	"midpoint"	"K_yr_pl; P_yr_pl; F_yr_pl"
