"ipm_id","target_name","target_value","precision"
"aaa323","lambda",1.0134,3
"aaa326","lambda",1,4
"aaa329","lambda",NA,NA
"aaa339","lambda",1.22,2
"aaa340","lambda",1.26,2
"aaa341","lambda",1.15,2
"aaa342","lambda",1.12,2
"aaaa35","lambda",1.08,2
"aaaa36","lambda",1.11,2
"aaaa37","lambda",1.43,2
"aaa313","lambda_2013",1.36,2
"aaa313","lambda_2014",1.93,2
"aaa313","lambda_2015",1.16,2
"aaa314","lambda_2013",0.81,2
"aaa314","lambda_2014",1.28,2
"aaa314","lambda_2015",1.12,2
"aaa315","lambda_2013",0.66,2
"aaa315","lambda_2014",0.74,2
"aaa315","lambda_2015",1.11,2
"aaa317","lambda_2013",0.67,2
"aaa317","lambda_2014",0.74,2
"aaa317","lambda_2015",1.69,2
"ddddd3","lambda",1.02,2
"ddddd5","lambda",1.02,2
"ddddd7","lambda",1.053,2
