"ipm_id"	"demographic_parameter"	"formula"	"model_type"	"kernel_id"
"aaaa15"	"Survival"	"s = 1/(1+ exp(-(s_0 + s_1*leafarea_1 + s_2 * j + s_3 * leafarea_1 * j)))"	"Evaluated"	"P"
"aaaa15"	"Growth"	"g_mu = g_0 + g_1 * leafarea_1 + g_2 * j + g_3 * A_max + g_4 * leafarea_1 * j + g_5 * leafarea_1 * A_max + g_6 * j * A_max + g_7 * leafarea_1 * j * A_max"	"Evaluated"	"P"
"aaaa15"	"Growth"	"g = Norm(g_mu, g_sd)"	"Substituted"	"P"
"aaaa15"	"Fecundity"	"f =  r_p * r_o * n_f * n_s * s_s * sdl_s * sdl_size"	"Evaluated"	"F"
"aaaa15"	"Fecundity"	"r_p = 1 / (1 + exp(-(r_0 + r_1 * leafarea_1 + r_2* j + r_3 * leafarea_1* j)))"	"Evaluated"	"F"
"aaaa15"	"Fecundity"	"r_o = exp(i_0 + i_1 * leafarea_1 + i_2 * j + i_3 * leafarea_1 * j)"	"Evaluated"	"F"
"aaaa15"	"Fecundity"	"s_s = ifelse( j < 6 , s_sl, s_sh)"	"Evaluated"	"F"
"aaaa15"	"Fecundity"	"sdl_s = ifelse( j < 6 , sdl_sl, sdl_sh)"	"Evaluated"	"F"
"aaaa15"	"Fecundity"	"sdl_m_l = Norm(sdl_meanl, sdl_sdl)"	"Substituted"	"F"
"aaaa15"	"Fecundity"	"sdl_m_h = Norm(sdl_meanh, sdl_sdh)"	"Substituted"	"F"
"aaaa15"	"Fecundity"	"sdl_size = ifelse( j < 6, sdl_m_l, sdl_m_h)"	"Evaluated"	"F"
"aaaa16"	"Survival"	"s = 1/(1+ exp(-(s_0 + s_1*leafarea_1 + s_2 * j + s_3 * leafarea_1 * j)))"	"Evaluated"	"P"
"aaaa16"	"Growth"	"g_mu = g_0 + g_1 * leafarea_1 + g_2 * j + g_3 * A_max + g_4 * leafarea_1 * j + g_5 * leafarea_1 * A_max + g_6 * j * A_max + g_7 * leafarea_1 * j * A_max"	"Evaluated"	"P"
"aaaa16"	"Growth"	"g = Norm(g_mu, g_sd)"	"Substituted"	"P"
"aaaa16"	"Fecundity"	"f =  r_p* r_o* n_f * n_s * s_s * sdl_s * sdl_size"	"Evaluated"	"F"
"aaaa16"	"Fecundity"	"r_p = 1 / (1 + exp( - (r_0 + r_1 * leafarea_1 + r_2* j + r_3 * leafarea_1* j)))"	"Evaluated"	"F"
"aaaa16"	"Fecundity"	"r_o = exp(i_0 + i_1 * leafarea_1 + i_2 * j + i_3 * leafarea_1 * j)"	"Evaluated"	"F"
"aaaa16"	"Fecundity"	"s_s = ifelse( j < 6 , s_sl, s_sh)"	"Evaluated"	"F"
"aaaa16"	"Fecundity"	"sdl_s = ifelse( j < 6 , sdl_sl, sdl_sh)"	"Evaluated"	"F"
"aaaa16"	"Fecundity"	"sdl_m_l = Norm(sdl_meanl, sdl_sdl)"	"Substituted"	"F"
"aaaa16"	"Fecundity"	"sdl_m_h = Norm(sdl_meanh, sdl_sdh)"	"Substituted"	"F"
"aaaa16"	"Fecundity"	"sdl_size = ifelse( j < 6, sdl_m_l, sdl_m_h)"	"Evaluated"	"F"
"aaaa17"	"Survival"	"s_yr = exp(cfs1 + cfs2*size_1 + cfs3 * expp + cfs4*wett + cfs5*size_1*expp + cfs6*size_1*wett + cfs7*expp*wett + cfs8*size_1*expp*wett + crs_yr)/(1+exp(cfs1 + cfs2*size_1 + cfs3 * expp + cfs4*wett + cfs5*size_1*expp + cfs6*size_1*wett + cfs7*expp*wett + cfs8*size_1*expp*wett + crs_yr))"	"Evaluated"	"P_yr"
"aaaa17"	"Growth"	"g_yr = Norm(mux_yr, sigmax)"	"Substituted"	"P_yr"
"aaaa17"	"Growth"	"mux_yr = cfg1 + cfg2*size_1 + cfg3*expp + cfg4*wett + cfg5 * size_1 * expp + cfg6 * size_1 * wett + cfg7 * expp * wett + cfg8 * size_1 * expp * wett + crp_yr"	"Evaluated"	"P_yr"
"aaaa17"	"Growth"	"sigmax2 = cfv1 + cfv2*size_1"	"Evaluated"	"P_yr"
"aaaa17"	"Growth"	"sigmax2_2 = ifelse(sigmax2 < 0, 0.01, sigmax2)"	"Evaluated"	"P_yr"
"aaaa17"	"Growth"	"sigmax = sqrt(sigmax2_2)"	"Evaluated"	"P_yr"
"aaaa17"	"Fecundity"	"recr_size = Norm(rcsz_mu, rcsz_sd)"	"Substituted"	"Y"
"aaaa17"	"Fecundity"	"f_yr = (nseed * fec_yr*p_rep_yr)/(sum(fec_yr*p_rep_yr))"	"Evaluated"	"F_yr"
