"ipm_id"	"state_variable"	"domain"	"lower"	"upper"	"kernel_id"	"notes"
"aaaaa0"	"size"	"size_all"	0.0034	750	"K; P; F"	NA
"aaaaa1"	"size"	"size_all"	0.0034	750	"K; P; F"	NA
"aaaaa2"	"size"	"size_all"	0.0034	750	"K; P; F"	NA
"aaaaa3"	"size"	"size_all"	0.0034	750	"K; P; F"	NA
"aaaaa4"	"size"	"size_all"	1	24	"K; P; F"	NA
"aaaaa5"	"size"	"size_all"	1	24	"K; P; F"	NA
"aaaaa6"	"size"	"size_all"	1	24	"K; P; F"	NA
"aaaaa7"	"size"	"size_all"	1	24	"K; P; F"	NA
"aaaaa8"	"dbh"	"dbh_all"	10	250	"K_yr; P_yr; F_yr"	NA
"aaaaa9"	"leaves"	"leaves"	0	39	"K; P; F"	NA
"aaaa10"	"leaves"	"leaves"	0	39	"K; P; F"	NA
"aaaa11"	"leaves"	"leaves"	0	39	"K; P; F"	NA
"aaaa12"	"leaves"	"leaves"	0	39	"K; P; F"	NA
"aaaa13"	"leaves"	"leaves"	0	39	"K; P; F"	NA
"aaaa14"	"leaves"	"leaves"	0	39	"K; P; F"	NA
"aaaa15"	"leafarea"	"leafarea_all"	0.57	11.9	"K; P; F"	NA
"aaaa16"	"leafarea"	"leafarea_all"	0.78	11.07	"K; P; F"	NA
"aaaa17"	"size"	"size_all"	0	15	"K_yr; P_yr; F_yr"	NA
"aaaa18"	"size"	"size_all"	0	15	"K_yr; P_yr; F_yr"	NA
"aaaa19"	"size"	"size_all"	0	15	"K_yr; P_yr; F_yr"	NA
"aaaa20"	"size"	"size_all"	0	15	"K_yr; P_yr; F_yr"	NA
"aaaa21"	"size"	"size_all"	0.1	23.5	"P_hstSp_clone; F_hstSP_clone; C_hstSp_clone"	NA
"aaaa22"	"logrosd"	"logD_all"	NA	NA	"K; P; F"	"0.9 * miniumum and 1.1*maximum size. Kachi & Hirose simulated max size was 32 cm"
"aaaa23"	"size"	"size_all"	0	45	"K_yr; P_yr; F_yr"	NA
"aaaa24"	"size"	"size_most"	0	7.6004023345004	"K_le; P_le; inBG_le"	NA
"aaaa25"	"size"	"size_most"	0	7.6004023345004	"K_le; P_le; inBG_le"	NA
"aaaa26"	"size"	"size_most"	0	7.6004023345004	"K_le; P_le; inBG_le"	NA
"aaaa27"	"size"	"size_most"	0	7.6004023345004	"K_le; P_le; inBG_le"	NA
"aaaa28"	"size"	"size_most"	0	7.6004023345004	"K_le; P_le; inBG_le"	NA
"aaaa29"	"size"	"size_most"	0	7.6004023345004	"K_le; P_le; inBG_le"	NA
"aaaa30"	"size"	"size_most"	0	7.6004023345004	"K_le; P_le; inBG_le"	NA
"aaaa31"	"size"	"size_most"	0	7.6004023345004	"K_le; P_le; inBG_le"	NA
"aaaa32"	"size"	"size_most"	0	7.6004023345004	"K_le; P_le; inBG_le"	NA
"aaaa33"	"nrosettes"	"nrosettes_all"	1	60	"K_yr; P_yr; F_yr"	NA
"aaaa34"	"lnsize"	"lnsize_all"	0	5	"K; P; F"	NA
"aaaa35"	"lnsize"	"lnsize_all"	0	5	"K; P; F"	NA
"aaaa36"	"lnsize"	"lnsize_all"	0	5	"K; P; F"	NA
"aaaa37"	"lnsize"	"lnsize_all"	0	5	"K; P; F"	NA
"aaaa38"	"nleaves"	"nleaves_all"	0.9	36.3	"K_yr_pl; P_yr_pl; F_yr_pl"	NA
"aaaa39"	"nleaves"	"nleaves_all"	0.9	69.3	"K_yr_pl; P_yr_pl; F_yr_pl"	NA
"aaaa40"	"nleaves"	"nleaves_all"	0.9	95.7	"K_yr_pl; P_yr_pl; F_yr_pl"	NA
