"ipm_id","state_variable","model_name"
"aaaa24","biggest","biggest"
"aaaa25","biggest","biggest"
"aaaa26","biggest","biggest"
"aaaa27","biggest","biggest"
"aaaa28","biggest","biggest"
"aaaa29","biggest","biggest"
"aaaa30","biggest","biggest"
"aaaa31","biggest","biggest"
"aaaa32","biggest","biggest"
"aaaa55","seedbank","SB1"
"aaaa55","seedbank","SB2"
"aaaa56","seedbank","seedbank"
"aaa312","seedbank","seedbank"
"aaa312","seedling","seedling"
"aaa313","seedbank","seedbank"
"aaa313","seedling","seedling"
"aaa314","seedbank","seedbank"
"aaa314","seedling","seedling"
"aaa315","seedbank","seedbank"
"aaa315","seedling","seedling"
"aaa316","seedbank","seedbank"
"aaa316","seedling","seedling"
"aaa317","seedbank","seedbank"
"aaa317","seedling","seedling"
"aaa318","seedbank","seedbank"
"aaa318","seedling","seedling"
"aaa322","seedbank","seedbank"
"aaa325","seedbank","seedbank"
"aaa327","seedbank","seedbank"
"aaa327","seedling","seedling"
"aaa332","seedbank","seedbank"
"aaa333","seedbank","seedbank"
"aaa335","seedbank","seedbank"
"aaa336","seedbank","seedbank"
"aaa339","seeds","seeds"
"aaa340","seeds","seeds"
"aaa346","seedbank","SB1"
"aaa346","seedbank","SB2"
"aaa346","seedling","seedling"
"aaa347","seedbank","SB1"
"aaa347","seedbank","SB2"
"aaa347","seedling","seedling"
"aaa348","seedbank","SB1"
"aaa348","seedbank","SB2"
"aaa348","seedling","seedling"
"aaa381","seedbank","seedbank"
"aaa382","seedbank","seedbank"
"aaa383","seedbank","seedbank"
"bbbb21","seedbank","seedbank"
"bbbb22","seedbank","seedbank"
"bbbb23","seedbank","seedbank"
"bbbb24","seedbank","seedbank"
"bbbb25","seedbank","seedbank"
"bbbb26","seedbank","seedbank"
"bbbb27","seedbank","seedbank"
"bbbb28","seedbank","seedbank"
"bbbb29","seedbank","seedbank"
"bbbb30","seedbank","seedbank"
"bbbb31","seedbank","seedbank"
"bbbb32","seedbank","seedbank"
"bbbb33","seedbank","seedbank"
"bbbb34","seedbank","seedbank"
"bbbb35","seedbank","seedbank"
"bbbb36","seedbank","seedbank"
"bbbb37","seedbank","seedbank"
"bbbb38","seedbank","seedbank"
"bbbb39","seedbank","seedbank"
"bbbb40","seedbank","seedbank"
"bbbb41","seedbank","seedbank"
"bbbb42","seedbank","seedbank"
"bbbb43","seedbank","seedbank"
"bbbb44","seedbank","seedbank"
"bbbb45","seedbank","seedbank"
"bbbb46","seedbank","seedbank"
"bbbb47","seedbank","seedbank"
"bbbb48","seedbank","seedbank"
"bbbb49","seedbank","seedbank"
"bbbb50","seedbank","seedbank"
"bbbb51","seedbank","seedbank"
"bbbb52","seedbank","seedbank"
"bbbb53","seedbank","seedbank"
"bbbb54","seedbank","seedbank"
"bbbb55","seedbank","seedbank"
"bbbb56","seedbank","seedbank"
"bbbb57","seedbank","seedbank"
"bbbb58","seedbank","seedbank"
"bbbb59","seedbank","seedbank"
"bbbb60","seedbank","seedbank"
"bbbb61","seedbank","seedbank"
"bbbb62","seedbank","seedbank"
"bbbb63","seedbank","seedbank"
"bbbb64","seedbank","seedbank"
"bbbb65","seedbank","seedbank"
"bbbb66","seedbank","seedbank"
"bbbb67","seedbank","seedbank"
"bbbb68","seedbank","seedbank"
"bbbb69","seedbank","seedbank"
"bbbb70","seedbank","seedbank"
