"ipm_id","env_variable","vr_expr_name","range","function","kernel_id"
"aaaaa8","year","yr","1:2","NULL","K_yr; P_yr; F_yr"
"aaaa17","year","yr","2004:2012","NULL","K_yr; P_yr; F_yr"
"aaaa18","year","yr","2004:2012","NULL","K_yr; P_yr; F_yr"
"aaaa19","year","yr","2004:2012","NULL","K_yr; P_yr; F_yr"
"aaaa20","year","yr","2004:2012","NULL","K_yr; P_yr; F_yr"
"aaaa21","host_species","hst_sp","0:1","NULL","P; F; C"
"aaaa21","clone","clone","0:1","NULL","P; F; C"
"aaaa23","year","yr","2006:2009","NULL","K_yr; P_yr; F_yr"
"aaaa24","Light_env","le","2:6","NULL","K_le; P_le"
"aaaa25","Light_env","le","1:6","NULL","K_le; P_le"
"aaaa26","Light_env","le","1:6","NULL","K_le; P_le"
"aaaa27","Light_env","le","1:5","NULL","K_le; P_le"
"aaaa28","Light_env","le","1:6","NULL","K_le; P_le"
"aaaa29","Light_env","le","1:6","NULL","K_le; P_le"
"aaaa30","Light_env","le","1:6","NULL","K_le; P_le"
"aaaa31","Light_env","le","1:6","NULL","K_le; P_le"
"aaaa32","Light_env","le","1:6","NULL","K_le; P_le"
"aaaa33","transition","yr","1:13","NULL","K_yr; P_yr; F_yr"
"aaaa38","year","yr","2014:2016","NULL","K_yr_pl; P_yr_pl; F_yr_pl"
"aaaa38","plot","pl","1:3","NULL","K_yr_pl; P_yr_pl; F_yr_pl"
"aaaa39","year","yr","2014:2016","NULL","K_yr_pl; P_yr_pl; F_yr_pl"
"aaaa39","plot","pl","1:4","NULL","K_yr_pl; P_yr_pl; F_yr_pl"
"aaaa40","year","yr","2014:2016","NULL","K_yr_pl; P_yr_pl; F_yr_pl"
"aaaa40","plot","pl","1:10","NULL","K_yr_pl; P_yr_pl; F_yr_pl"
"aaaa41","year","yr","2014:2016","NULL","K_yr_pl; P_yr_pl; F_yr_pl"
"aaaa41","plot","pl","1:2","NULL","K_yr_pl; P_yr_pl; F_yr_pl"
"aaaa42","year","yr","2014:2016","NULL","K_yr_pl; P_yr_pl; F_yr_pl"
"aaaa42","plot","pl","1:2","NULL","K_yr_pl; P_yr_pl; F_yr_pl"
"aaaa43","year","yr","2014:2016","NULL","K_yr_pl; P_yr_pl; F_yr_pl"
"aaaa43","plot","pl","1:3","NULL","K_yr_pl; P_yr_pl; F_yr_pl"
"aaaa44","year","yr","2014:2016","NULL","K_yr_pl; P_yr_pl; F_yr_pl"
"aaaa44","plot","pl","1:4","NULL","K_yr_pl; P_yr_pl; F_yr_pl"
"aaaa45","year","yr","2014:2016","NULL","K_yr_pl; P_yr_pl; F_yr_pl"
"aaaa45","plot","pl","1:10","NULL","K_yr_pl; P_yr_pl; F_yr_pl"
"aaaa46","year","yr","2014:2016","NULL","K_yr_pl; P_yr_pl; F_yr_pl"
"aaaa46","plot","pl","1:4","NULL","K_yr_pl; P_yr_pl; F_yr_pl"
"aaaa47","year","yr","2014:2016","NULL","K_yr_pl; P_yr_pl; F_yr_pl"
"aaaa47","plot","pl","1:4","NULL","K_yr_pl; P_yr_pl; F_yr_pl"
"aaaa48","year","yr","2014:2016","NULL","K_yr_pl; P_yr_pl; F_yr_pl"
"aaaa48","plot","pl","1:10","NULL","K_yr_pl; P_yr_pl; F_yr_pl"
"aaaa49","year","yr","2014:2016","NULL","K_yr_pl; P_yr_pl; F_yr_pl"
"aaaa49","plot","pl","1:3","NULL","K_yr_pl; P_yr_pl; F_yr_pl"
"aaaa50","year","yr","2014:2016","NULL","K_yr_pl; P_yr_pl; F_yr_pl"
"aaaa50","plot","pl","1:4","NULL","K_yr_pl; P_yr_pl; F_yr_pl"
"aaaa51","year","yr","2014:2016","NULL","K_yr_pl; P_yr_pl; F_yr_pl"
"aaaa51","plot","pl","1:10","NULL","K_yr_pl; P_yr_pl; F_yr_pl"
"aaaa52","year","yr","2014:2016","NULL","K_yr_pl; P_yr_pl; F_yr_pl"
"aaaa52","plot","pl","1:4","NULL","K_yr_pl; P_yr_pl; F_yr_pl"
"aaaa53","year","yr","2014:2016","NULL","K_yr_pl; P_yr_pl; F_yr_pl"
"aaaa53","plot","pl","1:4","NULL","K_yr_pl; P_yr_pl; F_yr_pl"
"aaaa55","year","yr","c(""2004"", ""2005"", ""2006"", ""2007"", ""2009"", ""2010"", ""2011"", ""2012"", ""2013"", ""2014"")","NULL","K_all_yr; K_yr; P_yr; F_yr; B_yr; B1_yr; B2_yr; B1C_yr; B2C_yr"
"aaaa56","TimeSinceFire","tsf","0:4","NULL","K_tsf_ls_site_block; P_tsf_ls_site_block; F_tsf_ls_site_block; S_tsf_block; goSB_tsf_ls_site_block"
"aaaa56","LifeStock","ls","1:2","NULL","K_tsf_ls_site_block; P_tsf_ls_site_block; F_tsf_ls_site_block; goSB_tsf_ls_site_block"
"aaaa56","Site","site","1:8","NULL","K_tsf_ls_site_block; P_tsf_ls_site_block; F_tsf_ls_site_block; goSB_tsf_ls_site_block"
"aaaa56","Blockdepth","block","1:7","NULL","K_tsf_ls_site_block; P_tsf_ls_site_block; F_tsf_ls_site_block; S_tsf_block; goSB_tsf_ls_site_block"
"aaa311","ShortOrLongLived","sp","1:2","NULL","K_sp; P_sp; F_sp"
"aaa312","Year","yr","2013;2015","NULL","K_all_yr; K_yr; P_yr; SdlOut_yr; goSB_yr; goSdl_yr; stay_SB; SBSdl_yr; S_yr; B_yr"
"aaa313","Year","yr","2013;2015","NULL","K_all_yr; K_yr; P_yr; SdlOut_yr; goSB_yr; goSdl_yr; stay_SB; SBSdl_yr; S_yr; B_yr"
"aaa314","Year","yr","2013;2015","NULL","K_all_yr; K_yr; P_yr; SdlOut_yr; goSB_yr; goSdl_yr; stay_SB; SBSdl_yr; S_yr; B_yr"
"aaa315","Year","yr","2013;2015","NULL","K_all_yr; K_yr; P_yr; SdlOut_yr; goSB_yr; goSdl_yr; stay_SB; SBSdl_yr; S_yr; B_yr"
"aaa316","Year","yr","2014;2015","NULL","K_all_yr; K_yr; P_yr; SdlOut_yr; goSB_yr; goSdl_yr; stay_SB; SBSdl_yr; S_yr; B_yr"
"aaa317","Year","yr","2013;2015","NULL","K_all_yr; K_yr; P_yr; SdlOut_yr; goSB_yr; goSdl_yr; stay_SB; SBSdl_yr; S_yr; B_yr"
"aaa318","Year","yr","2013;2015","NULL","K_all_yr; K_yr; P_yr; SdlOut_yr; goSB_yr; goSdl_yr; stay_SB; SBSdl_yr; S_yr; B_yr"
"aaa319","Herbivory","h","0:1","NULL","K_h_c; P0_h_c; P1_h_c; F_h_c"
"aaa319","Competition","c","1:3","NULL","K_h_c; P0_h_c; P1_h_c; F_h_c"
"aaa320","Herbivory","h","0:1","NULL","K_h_c; P0_h_c; P1_h_c; F_h_c"
"aaa320","Competition","c","1:3","NULL","K_h_c; P0_h_c; P1_h_c; F_h_c"
"aaa321","NormalOrDryYear","yr","1:2","NULL","K_yr; P_yr; C_yr"
"aaa325","Year","yr","c(""1994"", ""1996"")","NULL","K_all_yr; K_yr; P_yr; F_yr; goSB_yr; goCont_yr; SB_yr"
"aaa334","Proportion_grazed","PG","c(""GNone"", ""GLow"", ""GMedium"", ""GHigh"")","NULL","K_fire_PG_PH; Psingle_fire_PG_PH; Pramet_fire_PG_PH; GSR_fire_PG_PH; F_fire_PG_PH; C_fire_PG_PH"
"aaa334","Proportion_harvested","PH","c(""HNone"", ""HLow"", ""HMedium"", ""HHigh"")","NULL","K_fire_PG_PH; Psingle_fire_PG_PH; Pramet_fire_PG_PH; GSR_fire_PG_PH; F_fire_PG_PH; C_fire_PG_PH"
"aaa334","Fire","fire","0:3","NULL","K_fire_PG_PH; Psingle_fire_PG_PH; Pramet_fire_PG_PH; GSR_fire_PG_PH; F_fire_PG_PH; C_fire_PG_PH"
"aaa343","EnvironmentType","en","c(""Open"", ""Dense"")","NULL","K_en; P_en; F_en"
"aaa344","Year","yr","c(""standard"", ""dry"")","NULL","K_yr; P_yr; F_yr"
"aaa345","Year","yr","c(""standard"", ""dry"")","NULL","K_yr; P_yr; F_yr"
"aaa381","Year","yr","c(""2008"", ""2009"", ""2010"")","NULL","K_all_yr_site; K_yr_site; P_yr_site; F_yr_site; B_yr_site;  goSB_yr"
