"ipm_id","kernel_id","formula","model_family","domain_start","domain_end"
"aaaaa0","K","K = P + F","IPM","size","size"
"aaaaa0","P","P = s* g * d_size","CC","size","size"
"aaaaa0","F","F = f_1*f_2 * d_size","CC","size","size"
"aaaaa1","K","K = P + F","IPM","size","size"
"aaaaa1","P","P = s* g * d_size","CC","size","size"
"aaaaa1","F","F = f_1*f_2 * d_size","CC","size","size"
"aaaaa2","K","K = P + F","IPM","size","size"
"aaaaa2","P","P = s* g * d_size","CC","size","size"
"aaaaa2","F","F = f_1*f_2 * d_size","CC","size","size"
"aaaaa3","K","K = P + F","IPM","size","size"
"aaaaa3","P","P = s* g * d_size","CC","size","size"
"aaaaa3","F","F = f_1*f_2 * d_size","CC","size","size"
"aaaaa4","K","K = P + F","IPM","size","size"
"aaaaa4","P","P = s* g * d_size","CC","size","size"
"aaaaa4","F","F = f_1*f_2 * d_size","CC","size","size"
"aaaaa5","K","K = P + F","IPM","size","size"
"aaaaa5","P","P = s* g * d_size","CC","size","size"
"aaaaa5","F","F = f_1*f_2 * d_size","CC","size","size"
"aaaaa6","K","K = P + F","IPM","size","size"
"aaaaa6","P","P = s* g * d_size","CC","size","size"
"aaaaa6","F","F = f_1*f_2 * d_size","CC","size","size"
"aaaaa7","K","K = P + F","IPM","size","size"
"aaaaa7","P","P = s* g * d_size","CC","size","size"
"aaaaa7","F","F = f_1*f_2 * d_size","CC","size","size"
"aaaaa8","K_yr","K_yr = P_yr + F_yr","IPM","dbh","dbh"
"aaaaa8","P_yr","P_yr = s_yr * g_yr * d_dbh","CC","dbh","dbh"
"aaaaa8","F_yr","F_yr  = f_yr * d_dbh","CC","dbh","dbh"
"aaaa15","K","K = P + F","IPM","leafarea","leafarea"
"aaaa15","P","P = s * g * d_leafarea","CC","leafarea","leafarea"
"aaaa15","F","F = f * d_leafarea","CC","leafarea","leafarea"
"aaaa16","K","K = P + F","IPM","leafarea","leafarea"
"aaaa16","P","P = s * g * d_leafarea","CC","leafarea","leafarea"
"aaaa16","F","F = f * d_leafarea","CC","leafarea","leafarea"
"aaaa17","K_yr","K_yr = P_yr + F_yr","IPM","size","size"
"aaaa17","P_yr","P_yr = s_yr * g_yr * cell_size * d_size","CC","size","size"
"aaaa17","F_yr","F_yr = f_yr * d_size","CC","size","size"
"aaaa18","K_yr","K_yr = P_yr + F_yr","IPM","size","size"
"aaaa18","P_yr","P_yr = s_yr * g_yr * cell_size * d_size","CC","size","size"
"aaaa18","F_yr","F_yr = f_yr * d_size","CC","size","size"
"aaaa19","K_yr","K_yr = P_yr + F_yr","IPM","size","size"
"aaaa19","P_yr","P_yr = s_yr * g_yr * cell_size * d_size","CC","size","size"
"aaaa19","F_yr","F_yr = f_yr * d_size","CC","size","size"
"aaaa20","K_yr","K_yr = P_yr + F_yr","IPM","size","size"
"aaaa20","P_yr","P_yr = s_yr * g_yr * cell_size * d_size","CC","size","size"
"aaaa20","F_yr","F_yr = f_yr * d_size","CC","size","size"
"aaaa21","K","K = P + F + C","IPM","size","size"
"aaaa21","P","P = s * g * d_size","CC","size","size"
"aaaa21","F","F = s * f_n * pE * fd * d_size","CC","size","size"
"aaaa21","C","C = s * f_c * CE * fc * d_size","CC","size","size"
"aaaa22","K","K = P + F","IPM","logD","logD"
"aaaa22","P","P = s1 * (1 - pf) * g * d_logD","CC","logD","logD"
"aaaa22","F","F = pe * pf * fn * fd * d_logD","CC","logD","logD"
"aaaa23","K_yr","K_yr = P_yr + F","IPM","size","size"
"aaaa23","P_yr","P_yr = s_yr * g_yr * d_size","CC","size","size"
"aaaa23","F_yr","F_yr = pf * flr * rec_yr * rsize * d_size","CC","size","size"
"aaaa24","K_le","K_le = P_le","IPM","size","size"
"aaaa24","P_le","P_le = s_le * g_le * d_size","CC","size","size"
"aaaa24","stayBG_le","stayBG_le = sbg_le","DD",NA,NA
"aaaa24","inBG_le","inBG_le = goBG_le * d_size","CD","size",NA
"aaaa24","K_le","n_size_t_1_le = mat_mult(K_le, n_size_t); n_biggest_t_1_le = mat_mult(inBG_le, n_size_t) + mat_mult(stayBG_le, n_biggest_t)","iteration_procedure","size","size"
"aaaa25","K_le","K_le = P_le","IPM","size","size"
"aaaa25","P_le","P_le = s_le * g_le * d_size","CC","size","size"
"aaaa25","stayBG_le","stayBG_le = sbg_le * biggest_1","DD",NA,NA
"aaaa25","inBG_le","inBG_le = goBG_le * d_size","CD","size",NA
"aaaa25","K_le","n_size_t_1_le = mat_mult(K_le, n_size_t); n_biggest_t_1_le = mat_mult(inBG_le, n_size_t) + mat_mult(stayBG_le, n_biggest_t)","iteration_procedure","size","size"
"aaaa26","K_le","K_le = P_le","IPM","size","size"
"aaaa26","P_le","P_le = s_le * g_le * d_size","CC","size","size"
