"ipm_id"	"kernel_id"	"formula"	"model_family"	"domain_start"	"domain_end"
"aaaaa0"	"P"	"P = s* g * d_size"	"CC"	"size"	"size"
"aaaaa0"	"F"	"F = f_1*f_2 * d_size"	"CC"	"size"	"size"
"aaaaa1"	"P"	"P = s* g * d_size"	"CC"	"size"	"size"
"aaaaa1"	"F"	"F = f_1*f_2 * d_size"	"CC"	"size"	"size"
"aaaaa2"	"P"	"P = s* g * d_size"	"CC"	"size"	"size"
"aaaaa2"	"F"	"F = f_1*f_2 * d_size"	"CC"	"size"	"size"
"aaaaa3"	"P"	"P = s* g * d_size"	"CC"	"size"	"size"
"aaaaa3"	"F"	"F = f_1*f_2 * d_size"	"CC"	"size"	"size"
"aaaaa4"	"P"	"P = s* g * d_size"	"CC"	"size"	"size"
"aaaaa4"	"F"	"F = f_1*f_2 * d_size"	"CC"	"size"	"size"
"aaaaa5"	"P"	"P = s* g * d_size"	"CC"	"size"	"size"
"aaaaa5"	"F"	"F = f_1*f_2 * d_size"	"CC"	"size"	"size"
"aaaaa6"	"P"	"P = s* g * d_size"	"CC"	"size"	"size"
"aaaaa6"	"F"	"F = f_1*f_2 * d_size"	"CC"	"size"	"size"
"aaaaa7"	"P"	"P = s* g * d_size"	"CC"	"size"	"size"
"aaaaa7"	"F"	"F = f_1*f_2 * d_size"	"CC"	"size"	"size"
"aaaaa8"	"P_yr"	"P_yr = s_yr * g_yr * d_dbh"	"CC"	"dbh"	"dbh"
"aaaaa8"	"F_yr"	"F_yr  = f_yr * d_dbh"	"CC"	"dbh"	"dbh"
"aaaa15"	"P"	"P = s * g * d_leafarea"	"CC"	"leafarea"	"leafarea"
"aaaa15"	"F"	"F = f * d_leafarea"	"CC"	"leafarea"	"leafarea"
"aaaa16"	"P"	"P = s * g * d_leafarea"	"CC"	"leafarea"	"leafarea"
"aaaa16"	"F"	"F = f * d_leafarea"	"CC"	"leafarea"	"leafarea"
"aaaa17"	"P_yr"	"P_yr = s_yr * g_yr * d_size"	"CC"	"size"	"size"
"aaaa17"	"Y"	"Y = recr_size * yearling_s * d_size"	"DC"	"yearling"	"size"
"aaaa17"	"F_yr"	"F_yr = f_yr"	"CD"	"size"	"yearling"
"aaaa18"	"Y"	"Y = recr_size * yearling_s * d_size"	"DC"	"yearling"	"size"
"aaaa18"	"P_yr"	"P_yr = s_yr * g_yr * d_size"	"CC"	"size"	"size"
"aaaa18"	"F_yr"	"F_yr = f_yr"	"CD"	"size"	"yearling"
"aaaa19"	"Y"	"Y = recr_size * yearling_s * d_size"	"DC"	"yearling"	"size"
"aaaa19"	"P_yr"	"P_yr = s_yr * g_yr * d_size"	"CC"	"size"	"size"
"aaaa19"	"F_yr"	"F_yr = f_yr"	"CD"	"size"	"yearling"
"aaaa20"	"Y"	"Y = recr_size * yearling_s * d_size"	"DC"	"yearling"	"size"
"aaaa20"	"P_yr"	"P_yr = s_yr * g_yr * d_size"	"CC"	"size"	"size"
"aaaa20"	"F_yr"	"F_yr = f_yr"	"CD"	"size"	"yearling"
"aaaa21"	"P_hstSp_clone"	"P_hstSp_clone = s_hstSp_clone * g_hstSp_clone"	"CC"	"size"	"size"
"aaaa21"	"F_hstSp_clone"	"F_hstSp_clone = s_hstSp_clone * f_n_hstSp * pE_hstSp * fd"	"CC"	"size"	"size"
"aaaa21"	"C_hstSp_clone"	"C = s_hstSp_clone  * f_c_hstSp_clone  * CE * cd_hstSp"	"CC"	"size"	"size"
"aaaa22"	"P"	"P = s1 * (1 - pf) * g * d_logD"	"CC"	"logD"	"logD"
"aaaa22"	"F"	"F = pe * pf * fn * fd * d_logD"	"CC"	"logD"	"logD"
"aaaa23"	"P_yr"	"P_yr = s_yr * g_yr"	"CC"	"size"	"size"
"aaaa23"	"F_yr"	"F_yr = pf* flr * rec_yr * rsize"	"CC"	"size"	"size"
"aaaa24"	"P_le"	"P_le = s_le * g_le * d_size"	"CC"	"size"	"size"
"aaaa24"	"stayBG_le"	"stayBG_le = sbg_le"	"DD"	"biggest"	"biggest"
"aaaa24"	"inBG_le"	"inBG_le = goBG_le"	"CD"	"size"	"biggest"
"aaaa25"	"P_le"	"P_le = s_le * g_le * d_size"	"CC"	"size"	"size"
