"ipm_id"	"species_author"	"species_accepted"	"tax_genus"	"tax_family"	"tax_order"	"tax_class"	"tax_phylum"	"kingdom"	"organism_type"	"dicot_monocot"	"angio_gymno"	"authors"	"journal"	"pub_year"	"doi"	"corresponding_author"	"email_year"	"remark"	"apa_citation"	"demog_appendix_link"	"duration"	"start_year"	"start_month"	"end_year"	"end_month"	"periodicity"	"population_name"	"number_populations"	"lat"	"lon"	"altitude"	"country"	"continent"	"ecoregion"	"studied_sex"	"eviction_used"	"evict_type"	"evict_kernels"	"treatment"	"has_time_lag"	"has_age"	"has_dd"	"is_periodic"	".embargo"	".embargo_date"	".test_passed"
"aaaaa0"	"Mammillaria_dixanthocentron"	"Mammillaria_dixanthocentron"	"Mammillaria"	"Cactaceae"	"Caryophyllales"	"Magnoliopsida"	"Magnoliophyta"	"Plantae"	"Succulent"	"Dicot"	"angio"	"Ureta; Martorell; Hortal; Fornoni"	"PERSPECT PLANT ECOL"	2012	"10.1016/j.ppees.2012.09.001"	"Martorell"	"Martorell@ciencias.unam.mx (2017)"	"No year specific available"	"Ureta, C., Martorell, C., Hortal, J., & Fornoni, J. (2012). Assessing extinction risks under the combined effects of climate change and human disturbance through the analysis of life-history plasticity. Perspectives in plant ecology, evolution and systematics, 14(6), 393-401."	"https://www.sciencedirect.com/science/article/pii/S1433831912000455?via%3Dihub#sec0055"	"6"	"2001"	NA	"2006"	NA	1	"Less Disturbed"	"1"	"17.908799999999999"	"-97.448890000000006"	NA	"MEX"	"n_america"	"TSC"	"A"	TRUE	"rescale_kernel"	NA	"Fenced"	FALSE	FALSE	FALSE	NA	FALSE	NA	NA
"aaaaa1"	"Mammillaria_dixanthocentron"	"Mammillaria_dixanthocentron"	"Mammillaria"	"Cactaceae"	"Caryophyllales"	"Magnoliopsida"	"Magnoliophyta"	"Plantae"	"Succulent"	"Dicot"	"angio"	"Ureta; Martorell; Hortal; Fornoni"	"PERSPECT PLANT ECOL"	2012	"10.1016/j.ppees.2012.09.001"	"Martorell"	"Martorell@ciencias.unam.mx (2017)"	"No year specific available"	"Ureta, C., Martorell, C., Hortal, J., & Fornoni, J. (2012). Assessing extinction risks under the combined effects of climate change and human disturbance through the analysis of life-history plasticity. Perspectives in plant ecology, evolution and systematics, 14(6), 393-401."	"https://www.sciencedirect.com/science/article/pii/S1433831912000455?via%3Dihub#sec0055"	"6"	"2001"	NA	"2006"	NA	1	"Less Disturbed"	"1"	"17.908799999999999"	"-97.448890000000006"	NA	"MEX"	"n_america"	"TSC"	"A"	TRUE	"rescale_kernel"	NA	"Exposed"	FALSE	FALSE	FALSE	NA	FALSE	NA	NA
"aaaaa2"	"Mammillaria_dixanthocentron"	"Mammillaria_dixanthocentron"	"Mammillaria"	"Cactaceae"	"Caryophyllales"	"Magnoliopsida"	"Magnoliophyta"	"Plantae"	"Succulent"	"Dicot"	"angio"	"Ureta; Martorell; Hortal; Fornoni"	"PERSPECT PLANT ECOL"	2012	"10.1016/j.ppees.2012.09.001"	"Martorell"	"Martorell@ciencias.unam.mx (2017)"	"No year specific available"	"Ureta, C., Martorell, C., Hortal, J., & Fornoni, J. (2012). Assessing extinction risks under the combined effects of climate change and human disturbance through the analysis of life-history plasticity. Perspectives in plant ecology, evolution and systematics, 14(6), 393-401."	"https://www.sciencedirect.com/science/article/pii/S1433831912000455?via%3Dihub#sec0055"	"6"	"2001"	NA	"2006"	NA	1	"More Disturbed"	"1"	"17.897500000000001"	"-91.416390000000007"	NA	"MEX"	"n_america"	"TSC"	"A"	TRUE	"rescale_kernel"	NA	"Fenced"	FALSE	FALSE	FALSE	NA	FALSE	NA	NA
"aaaaa3"	"Mammillaria_dixanthocentron"	"Mammillaria_dixanthocentron"	"Mammillaria"	"Cactaceae"	"Caryophyllales"	"Magnoliopsida"	"Magnoliophyta"	"Plantae"	"Succulent"	"Dicot"	"angio"	"Ureta; Martorell; Hortal; Fornoni"	"PERSPECT PLANT ECOL"	2012	"10.1016/j.ppees.2012.09.001"	"Martorell"	"Martorell@ciencias.unam.mx (2017)"	"No year specific available"	"Ureta, C., Martorell, C., Hortal, J., & Fornoni, J. (2012). Assessing extinction risks under the combined effects of climate change and human disturbance through the analysis of life-history plasticity. Perspectives in plant ecology, evolution and systematics, 14(6), 393-401."	"https://www.sciencedirect.com/science/article/pii/S1433831912000455?via%3Dihub#sec0055"	"6"	"2001"	NA	"2006"	NA	1	"More Disturbed"	"1"	"17.897500000000001"	"-91.416390000000007"	NA	"MEX"	"n_america"	"TSC"	"A"	TRUE	"rescale_kernel"	NA	"Exposed"	FALSE	FALSE	FALSE	NA	FALSE	NA	NA
"aaaaa4"	"Mammillaria_hernandezii"	"Mammillaria_hernandezii"	"Mammillaria"	"Cactaceae"	"Caryophyllales"	"Magnoliopsida"	"Magnoliophyta"	"Plantae"	"Succulent"	"Dicot"	"angio"	"Ureta; Martorell; Hortal; Fornoni"	"PERSPECT PLANT ECOL"	2012	"10.1016/j.ppees.2012.09.001"	"Martorell"	"Martorell@ciencias.unam.mx (2017)"	"No year specific available"	"Ureta, C., Martorell, C., Hortal, J., & Fornoni, J. (2012). Assessing extinction risks under the combined effects of climate change and human disturbance through the analysis of life-history plasticity. Perspectives in plant ecology, evolution and systematics, 14(6), 393-401."	"https://www.sciencedirect.com/science/article/pii/S1433831912000455?via%3Dihub#sec0055"	"6"	"2001"	NA	"2006"	NA	1	"Less Disturbed"	"1"	"17.905280000000001"	"-97.43083"	NA	"MEX"	"n_america"	"TSC"	"A"	TRUE	"rescale_kernel"	NA	"Fenced"	FALSE	FALSE	FALSE	NA	FALSE	NA	NA
"aaaaa5"	"Mammillaria_hernandezii"	"Mammillaria_hernandezii"	"Mammillaria"	"Cactaceae"	"Caryophyllales"	"Magnoliopsida"	"Magnoliophyta"	"Plantae"	"Succulent"	"Dicot"	"angio"	"Ureta; Martorell; Hortal; Fornoni"	"PERSPECT PLANT ECOL"	2012	"10.1016/j.ppees.2012.09.001"	"Martorell"	"Martorell@ciencias.unam.mx (2017)"	"No year specific available"	"Ureta, C., Martorell, C., Hortal, J., & Fornoni, J. (2012). Assessing extinction risks under the combined effects of climate change and human disturbance through the analysis of life-history plasticity. Perspectives in plant ecology, evolution and systematics, 14(6), 393-401."	"https://www.sciencedirect.com/science/article/pii/S1433831912000455?via%3Dihub#sec0055"	"6"	"2001"	NA	"2006"	NA	1	"Less Disturbed"	"1"	"17.905280000000001"	"-97.43083"	NA	"MEX"	"n_america"	"TSC"	"A"	TRUE	"rescale_kernel"	NA	"Exposed"	FALSE	FALSE	FALSE	NA	FALSE	NA	NA
"aaaaa6"	"Mammillaria_hernandezii"	"Mammillaria_hernandezii"	"Mammillaria"	"Cactaceae"	"Caryophyllales"	"Magnoliopsida"	"Magnoliophyta"	"Plantae"	"Succulent"	"Dicot"	"angio"	"Ureta; Martorell; Hortal; Fornoni"	"PERSPECT PLANT ECOL"	2012	"10.1016/j.ppees.2012.09.001"	"Martorell"	"Martorell@ciencias.unam.mx (2017)"	"No year specific available"	"Ureta, C., Martorell, C., Hortal, J., & Fornoni, J. (2012). Assessing extinction risks under the combined effects of climate change and human disturbance through the analysis of life-history plasticity. Perspectives in plant ecology, evolution and systematics, 14(6), 393-401."	"https://www.sciencedirect.com/science/article/pii/S1433831912000455?via%3Dihub#sec0055"	"6"	"2001"	NA	"2006"	NA	1	"More Disturbed"	"1"	"17.920000000000002"	"-97.418610000000001"	NA	"MEX"	"n_america"	"TSC"	"A"	TRUE	"rescale_kernel"	NA	"Fenced"	FALSE	FALSE	FALSE	NA	FALSE	NA	NA
"aaaaa7"	"Mammillaria_hernandezii"	"Mammillaria_hernandezii"	"Mammillaria"	"Cactaceae"	"Caryophyllales"	"Magnoliopsida"	"Magnoliophyta"	"Plantae"	"Succulent"	"Dicot"	"angio"	"Ureta; Martorell; Hortal; Fornoni"	"PERSPECT PLANT ECOL"	2012	"10.1016/j.ppees.2012.09.001"	"Martorell"	"Martorell@ciencias.unam.mx (2017)"	"No year specific available"	"Ureta, C., Martorell, C., Hortal, J., & Fornoni, J. (2012). Assessing extinction risks under the combined effects of climate change and human disturbance through the analysis of life-history plasticity. Perspectives in plant ecology, evolution and systematics, 14(6), 393-401."	"https://www.sciencedirect.com/science/article/pii/S1433831912000455?via%3Dihub#sec0055"	"6"	"2001"	NA	"2006"	NA	1	"More Disturbed"	"1"	"17.920000000000002"	"-97.418610000000001"	NA	"MEX"	"n_america"	"TSC"	"A"	TRUE	"rescale_kernel"	NA	"Exposed"	FALSE	FALSE	FALSE	NA	FALSE	NA	NA
"aaaaa8"	"Nothofagus_dombeyi"	"Nothofagus_dombeyi"	"Nothofagus"	"Nothofagaceae"	"Fagales"	"Magnoliopsida"	"Magnoliophyta"	"Plantae"	"Tree"	"Dicot"	"angio"	"Molowny-Horas; Suarez; Lloret"	"ECOSPHERE"	2017	"10.1002/ecs2.1708"	"Molowny-Horas"	"robertro@creaf.uab.es (2017)"	"1988-1997 normal period, 1998-onwards drought period; Data was pooled from different sites and transects for the area from 40°36' to 41°32' S and 71°16' to 40' W. Here a middlepoint is used for lat/lon"	"Molowny-Horas, R., Suarez, M. L., & Lloret, F. (2017). Changes in the natural dynamics of Nothofagus dombeyi forests: population modeling with increasing drought frequencies. Ecosphere, 8(3), e01708."	"https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1002/ecs2.1708"	"9"	"2000"	NA	"2008"	NA	10	"Nahuel Huapi National Park"	"1"	"-41.066665"	"-71.466669999999993"	NA	"ARG"	"s_america"	"TBM"	"A"	FALSE	NA	NA	"Unmanipulated"	FALSE	FALSE	FALSE	NA	FALSE	NA	NA
"aaaaa9"	"Goodyera_pubescens"	"Goodyera_pubescens"	"Goodyera"	"Orchidaceae"	"Orchidales"	"Liliopsida"	"Magnoliophyta"	"Plantae"	"Herbaceous perennial"	"Monocot"	"angio"	"Diez; Giladi; Warren; Pulliam"	"J Ecol"	2014	"10.1111/1365-2745.12215"	"Diez"	"jeffdiez@gmail.com (2014)"	"The GPS coordinates were approximated to the closest geographic location described in the reference"	"Diez, J. M., Giladi, I., Warren, R., & Pulliam, H. R. (2014). Probabilistic and spatially variable niches inferred from demography. Journal of ecology, 102(2), 544-554."	"https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2745.12215%4010.1111/%28ISSN%291365-2435.DemographyBehindthePopulation"	"7"	"1998"	NA	"2004"	NA	1	"36A"	"1"	"35.059736000000001"	"-83.430570000000003"	"1125"	"USA"	"n_america"	"TBM"	"A"	TRUE	"truncated_distributions"	NA	"Unmanipulated"	FALSE	FALSE	TRUE	NA	FALSE	NA	NA
"aaaa10"	"Goodyera_pubescens"	"Goodyera_pubescens"	"Goodyera"	"Orchidaceae"	"Orchidales"	"Liliopsida"	"Magnoliophyta"	"Plantae"	"Herbaceous perennial"	"Monocot"	"angio"	"Diez; Giladi; Warren; Pulliam"	"J Ecol"	2014	"10.1111/1365-2745.12215"	"Diez"	"jeffdiez@gmail.com (2014)"	"The GPS coordinates were approximated to the closest geographic location described in the reference"	"Diez, J. M., Giladi, I., Warren, R., & Pulliam, H. R. (2014). Probabilistic and spatially variable niches inferred from demography. Journal of ecology, 102(2), 544-554."	"https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2745.12215%4010.1111/%28ISSN%291365-2435.DemographyBehindthePopulation"	"7"	"1998"	NA	"2004"	NA	1	"36G"	"1"	"35.059736000000001"	"-83.430570000000003"	"1125"	"USA"	"n_america"	"TBM"	"A"	TRUE	"truncated_distributions"	NA	"Unmanipulated"	FALSE	FALSE	TRUE	NA	FALSE	NA	NA
"aaaa11"	"Goodyera_pubescens"	"Goodyera_pubescens"	"Goodyera"	"Orchidaceae"	"Orchidales"	"Liliopsida"	"Magnoliophyta"	"Plantae"	"Herbaceous perennial"	"Monocot"	"angio"	"Diez; Giladi; Warren; Pulliam"	"J Ecol"	2014	"10.1111/1365-2745.12215"	"Diez"	"jeffdiez@gmail.com (2014)"	"The GPS coordinates were approximated to the closest geographic location described in the reference"	"Diez, J. M., Giladi, I., Warren, R., & Pulliam, H. R. (2014). Probabilistic and spatially variable niches inferred from demography. Journal of ecology, 102(2), 544-554."	"https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2745.12215%4010.1111/%28ISSN%291365-2435.DemographyBehindthePopulation"	"7"	"1998"	NA	"2004"	NA	1	"G7"	"1"	"35.059736000000001"	"-83.430570000000003"	"1125"	"USA"	"n_america"	"TBM"	"A"	TRUE	"truncated_distributions"	NA	"Unmanipulated"	FALSE	FALSE	TRUE	NA	FALSE	NA	NA
"aaaa12"	"Goodyera_pubescens"	"Goodyera_pubescens"	"Goodyera"	"Orchidaceae"	"Orchidales"	"Liliopsida"	"Magnoliophyta"	"Plantae"	"Herbaceous perennial"	"Monocot"	"angio"	"Diez; Giladi; Warren; Pulliam"	"J Ecol"	2014	"10.1111/1365-2745.12215"	"Diez"	"jeffdiez@gmail.com (2014)"	"The GPS coordinates were approximated to the closest geographic location described in the reference"	"Diez, J. M., Giladi, I., Warren, R., & Pulliam, H. R. (2014). Probabilistic and spatially variable niches inferred from demography. Journal of ecology, 102(2), 544-554."	"https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2745.12215%4010.1111/%28ISSN%291365-2435.DemographyBehindthePopulation"	"7"	"1998"	NA	"2004"	NA	1	"G12"	"1"	"35.059736000000001"	"-83.430570000000003"	"1125"	"USA"	"n_america"	"TBM"	"A"	TRUE	"truncated_distributions"	NA	"Unmanipulated"	FALSE	FALSE	TRUE	NA	FALSE	NA	NA
"aaaa13"	"Goodyera_pubescens"	"Goodyera_pubescens"	"Goodyera"	"Orchidaceae"	"Orchidales"	"Liliopsida"	"Magnoliophyta"	"Plantae"	"Herbaceous perennial"	"Monocot"	"angio"	"Diez; Giladi; Warren; Pulliam"	"J Ecol"	2014	"10.1111/1365-2745.12215"	"Diez"	"jeffdiez@gmail.com (2014)"	"The GPS coordinates were approximated to the closest geographic location described in the reference"	"Diez, J. M., Giladi, I., Warren, R., & Pulliam, H. R. (2014). Probabilistic and spatially variable niches inferred from demography. Journal of ecology, 102(2), 544-554."	"https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2745.12215%4010.1111/%28ISSN%291365-2435.DemographyBehindthePopulation"	"7"	"1998"	NA	"2004"	NA	1	"18H"	"1"	"35.059736000000001"	"-83.430570000000003"	"1125"	"USA"	"n_america"	"TBM"	"A"	TRUE	"truncated_distributions"	NA	"Unmanipulated"	FALSE	FALSE	TRUE	NA	FALSE	NA	NA
"aaaa14"	"Goodyera_pubescens"	"Goodyera_pubescens"	"Goodyera"	"Orchidaceae"	"Orchidales"	"Liliopsida"	"Magnoliophyta"	"Plantae"	"Herbaceous perennial"	"Monocot"	"angio"	"Diez; Giladi; Warren; Pulliam"	"J Ecol"	2014	"10.1111/1365-2745.12215"	"Diez"	"jeffdiez@gmail.com (2014)"	"The GPS coordinates were approximated to the closest geographic location described in the reference"	"Diez, J. M., Giladi, I., Warren, R., & Pulliam, H. R. (2014). Probabilistic and spatially variable niches inferred from demography. Journal of ecology, 102(2), 544-554."	"https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2745.12215%4010.1111/%28ISSN%291365-2435.DemographyBehindthePopulation"	"7"	"1998"	NA	"2004"	NA	1	"18C"	"1"	"35.059736000000001"	"-83.430570000000003"	"1125"	"USA"	"n_america"	"TBM"	"A"	TRUE	"truncated_distributions"	NA	"Unmanipulated"	FALSE	FALSE	TRUE	NA	FALSE	NA	NA
"aaaa15"	"Calathea_crotalifera"	"Calathea_crotalifera"	"Calathea"	"Marantaceae"	"Zingiberales"	"Liliopsida"	"Magnoliophyta"	"Plantae"	"Herbaceous perennial"	"Monocot"	"angio"	"Westerband; Horvitz"	"Ecology"	2017	"10.1002/ecy.1664"	"Westerband"	"andreawesterband@gmail.com (2019)"	NA	"Westerband, A. C., Horvitz, C. C. (2017). Photosynthetic rates influence the population dynamics of understory herbs in stochastic light environments. Ecology, 98 (2): 370-381."	"https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1002/ecy.1664"	"4"	"2012"	"6"	"2015"	"6"	1	"Las Cruces"	"1"	"8.7852779999999999"	"-82.958889999999997"	"1200"	"CRI"	"s_america"	"TMB"	"A"	FALSE	NA	NA	"Unmanipulated"	FALSE	FALSE	FALSE	NA	FALSE	NA	NA
