"ipm_id"	"env_variable"	"vr_expr_name"	"range"	"kernel_id"	"drop_levels"
"aaaaa8"	"year"	"yr"	"1:2"	"K_yr; P_yr; F_yr"	NA
"aaaa17"	"year"	"yr"	"2004:2012"	"K_yr; P_yr; F_yr"	NA
"aaaa18"	"year"	"yr"	"2004:2012"	"K_yr; P_yr; F_yr"	NA
"aaaa19"	"year"	"yr"	"2004:2012"	"K_yr; P_yr; F_yr"	NA
"aaaa20"	"year"	"yr"	"2004:2012"	"K_yr; P_yr; F_yr"	NA
"aaaa21"	"host_species"	"hstSp"	"0:1"	"P_hstSp_clone; F_hstSp_clone; C_hstSp_clone"	NA
"aaaa21"	"clone"	"clone"	"0:1"	"P_hstSp_clone; F_hstSp_clone; C_hstSp_clone"	NA
"aaaa23"	"year"	"yr"	"2006:2009"	"K_yr; P_yr; F_yr"	NA
"aaaa24"	"Light_env"	"le"	"2:6"	"K_le; P_le; stayBG_le; inBG_le"	NA
"aaaa25"	"Light_env"	"le"	"1:6"	"K_le; P_le; stayBG_le; inBG_le"	NA
"aaaa26"	"Light_env"	"le"	"1:6"	"K_le; P_le; stayBG_le; inBG_le"	NA
"aaaa27"	"Light_env"	"le"	"1:5"	"K_le; P_le; stayBG_le; inBG_le"	NA
"aaaa28"	"Light_env"	"le"	"1:6"	"K_le; P_le; stayBG_le; inBG_le"	NA
"aaaa29"	"Light_env"	"le"	"1:6"	"K_le; P_le; stayBG_le; inBG_le"	NA
"aaaa30"	"Light_env"	"le"	"1:6"	"K_le; P_le; stayBG_le; inBG_le"	NA
"aaaa31"	"Light_env"	"le"	"1:6"	"K_le; P_le; stayBG_le; inBG_le"	NA
"aaaa32"	"Light_env"	"le"	"1:6"	"K_le; P_le; stayBG_le; inBG_le"	NA
"aaaa33"	"transition"	"yr"	"1:13"	"K_yr; P_yr; F_yr"	NA
"aaaa38"	"year"	"yr"	"2014:2016"	"K_yr_pl; P_yr_pl; F_yr_pl"	NA
"aaaa38"	"plot"	"pl"	"1:3"	"K_yr_pl; P_yr_pl; F_yr_pl"	NA
"aaaa39"	"year"	"yr"	"2014:2016"	"K_yr_pl; P_yr_pl; F_yr_pl"	NA
"aaaa39"	"plot"	"pl"	"1:4"	"K_yr_pl; P_yr_pl; F_yr_pl"	NA
"aaaa40"	"year"	"yr"	"2014:2016"	"K_yr_pl; P_yr_pl; F_yr_pl"	NA
"aaaa40"	"plot"	"pl"	"1:10"	"K_yr_pl; P_yr_pl; F_yr_pl"	NA
"aaaa41"	"year"	"yr"	"2014:2016"	"K_yr_pl; P_yr_pl; F_yr_pl"	NA
"aaaa41"	"plot"	"pl"	"1:2"	"K_yr_pl; P_yr_pl; F_yr_pl"	NA
"aaaa42"	"year"	"yr"	"2014:2016"	"K_yr_pl; P_yr_pl; F_yr_pl"	NA
"aaaa42"	"plot"	"pl"	"1:2"	"K_yr_pl; P_yr_pl; F_yr_pl"	NA
"aaaa43"	"year"	"yr"	"2014:2016"	"K_yr_pl; P_yr_pl; F_yr_pl"	NA
"aaaa43"	"plot"	"pl"	"1:3"	"K_yr_pl; P_yr_pl; F_yr_pl"	NA
"aaaa44"	"year"	"yr"	"2014:2016"	"K_yr_pl; P_yr_pl; F_yr_pl"	NA
"aaaa44"	"plot"	"pl"	"1:4"	"K_yr_pl; P_yr_pl; F_yr_pl"	NA
