"ipm_id","demographic_parameter","formula","model_type","kernel_id"
"aaaaa0","Survival","s = exp(alpha+beta*size_1)/(1+exp(alpha+beta*size_1))","Evaluated","P"
"aaaaa0","Survival","alpha = alpha_phi0 + alpha_phi1*tot_rain+alpha_phi2*d_temp","Evaluated","P"
"aaaaa0","Survival","beta = beta_phi0 + beta_phi1*tot_rain+alpha_phi2*d_temp","Evaluated","P"
"aaaaa0","Growth","g = (((gamma+ delta* size_2^epsilon)/(zeta + eta*size_2))^(zeta+eta*size_2)*y^(zeta+eta*size_2-1)*exp((gamma+delta*size_2^epsilon*y)/(zeta+eta*size_2)))/Gamma(zeta+eta*size_2)","Substituted","P"
"aaaaa0","Growth","gamma = gamma_phi0 + gamma_phi1*tot_rain+gamma_phi2*d_temp","Evaluated","P"
"aaaaa0","Growth","delta = delta_phi0+ delta_phi1*tot_rain+delta_phi2*d_temp","Evaluated","P"
"aaaaa0","Growth","epsilon = epsilon_phi0 + epsilon_phi1*tot_rain+epsilon_phi2*d_temp","Evaluated","P"
"aaaaa0","Growth","zeta = zeta_phi0 + zeta_phi1 * tot_rain + zeta_phi2 * d_temp","Evaluated","P"
"aaaaa0","Growth","eta = eta_phi0 + eta_phi1*tot_rain + eta_phi2*d_temp","Evaluated","P"
"aaaaa0","Growth","y = gamma + delta * size_2^epsilon","Evaluated","P"
"aaaaa0","Fecundity","f_1 = ifelse(size_1 < C, 0, theta*exp(iota+(kappa*ln(size_1))))","Evaluated","F"
"aaaaa0","Fecundity","theta = theta_phi0 + theta_phi1 * tot_rain + theta_phi2 * d_temp","Evaluated","F"
"aaaaa0","Fecundity","iota = iota_phi0 + iota_phi1 * tot_rain + iota_phi2 * d_temp","Evaluated","F"
"aaaaa0","Fecundity","kappa = kappa_phi0 + kappa_phi1 * tot_rain + kappa_phi2 * d_temp","Evaluated","F"
"aaaaa0","Fecundity","f_2 = (mu^nu*y^(nu-1)*exp(-mu*y))/Gamma(nu)","Substituted","F"
"aaaaa0","Fecundity","mu = mu_phi0 + mu_phi1*tot_rain + mu_phi2*d_temp","Evaluated","F"
"aaaaa0","Fecundity","nu = nu_phi0 + nu_phi1*tot_rain + nu_phi2*d_temp","Evaluated","F"
"aaaaa1","Survival","s = exp(alpha+beta*size_1)/(1+exp(alpha+beta*size_1))","Evaluated","P"
"aaaaa1","Survival","alpha = alpha_phi0 + alpha_phi1*tot_rain+alpha_phi2*d_temp","Evaluated","P"
"aaaaa1","Survival","beta = beta_phi0 + beta_phi1*tot_rain+alpha_phi2*d_temp","Evaluated","P"
"aaaaa1","Growth","g = (((gamma+ delta* size_2^epsilon)/(zeta + eta*size_2))^(zeta+eta*size_2)*y^(zeta+eta*size_2-1)*exp((gamma+delta*size_2^epsilon*y)/(zeta+eta*size_2)))/Gamma(zeta+eta*size_2)","Substituted","P"
"aaaaa1","Growth","gamma = gamma_phi0 + gamma_phi1*tot_rain+gamma_phi2*d_temp","Evaluated","P"
"aaaaa1","Growth","delta = delta_phi0+ delta_phi1*tot_rain+delta_phi2*d_temp","Evaluated","P"
"aaaaa1","Growth","epsilon = epsilon_phi0 + epsilon_phi1*tot_rain+epsilon_phi2*d_temp","Evaluated","P"
"aaaaa1","Growth","zeta = zeta_phi0 + zeta_phi1 * tot_rain + zeta_phi2 * d_temp","Evaluated","P"
"aaaaa1","Growth","eta = eta_phi0 + eta_phi1*tot_rain + eta_phi2*d_temp","Evaluated","P"
"aaaaa1","Growth","y = gamma + delta * size_2^epsilon","Evaluated","P"
"aaaaa1","Fecundity","f_1 = ifelse(size_1 < C, 0, theta*exp(iota+(kappa*ln(size_1))))","Evaluated","F"
"aaaaa1","Fecundity","theta = theta_phi0 + theta_phi1 * tot_rain + theta_phi2 * d_temp","Evaluated","F"
"aaaaa1","Fecundity","iota = iota_phi0 + iota_phi1 * tot_rain + iota_phi2 * d_temp","Evaluated","F"
"aaaaa1","Fecundity","kappa = kappa_phi0 + kappa_phi1 * tot_rain + kappa_phi2 * d_temp","Evaluated","F"
"aaaaa1","Fecundity","f_2 = (mu^nu*y^(nu-1)*exp(-mu*y))/Gamma(nu)","Substituted","F"
"aaaaa1","Fecundity","mu = mu_phi0 + mu_phi1*tot_rain + mu_phi2*d_temp","Evaluated","F"
"aaaaa1","Fecundity","nu = nu_phi0 + nu_phi1*tot_rain + nu_phi2*d_temp","Evaluated","F"
"aaaaa2","Survival","s = exp(alpha+beta*size_1)/(1+exp(alpha+beta*size_1))","Evaluated","P"
"aaaaa2","Survival","alpha = alpha_phi0 + alpha_phi1*tot_rain+alpha_phi2*d_temp","Evaluated","P"
"aaaaa2","Survival","beta = beta_phi0 + beta_phi1*tot_rain+alpha_phi2*d_temp","Evaluated","P"
"aaaaa2","Growth","g = (((gamma+ delta* size_2^epsilon)/(zeta + eta*size_2))^(zeta+eta*size_2)*y^(zeta+eta*size_2-1)*exp((gamma+delta*size_2^epsilon*y)/(zeta+eta*size_2)))/Gamma(zeta+eta*size_2)","Substituted","P"
"aaaaa2","Growth","gamma = gamma_phi0 + gamma_phi1*tot_rain+gamma_phi2*d_temp","Evaluated","P"
"aaaaa2","Growth","delta = delta_phi0+ delta_phi1*tot_rain+delta_phi2*d_temp","Evaluated","P"
"aaaaa2","Growth","epsilon = epsilon_phi0 + epsilon_phi1*tot_rain+epsilon_phi2*d_temp","Evaluated","P"
"aaaaa2","Growth","zeta = zeta_phi0 + zeta_phi1 * tot_rain + zeta_phi2 * d_temp","Evaluated","P"
"aaaaa2","Growth","eta = eta_phi0 + eta_phi1*tot_rain + eta_phi2*d_temp","Evaluated","P"
"aaaaa2","Growth","y = gamma + delta * size_2^epsilon","Evaluated","P"
"aaaaa2","Fecundity","f_1 = ifelse(size_1 < C, 0, theta*exp(iota+(kappa*ln(size_1))))","Evaluated","F"
"aaaaa2","Fecundity","theta = theta_phi0 + theta_phi1 * tot_rain + theta_phi2 * d_temp","Evaluated","F"
"aaaaa2","Fecundity","iota = iota_phi0 + iota_phi1 * tot_rain + iota_phi2 * d_temp","Evaluated","F"
"aaaaa2","Fecundity","kappa = kappa_phi0 + kappa_phi1 * tot_rain + kappa_phi2 * d_temp","Evaluated","F"
"aaaaa2","Fecundity","f_2 = (mu^nu*y^(nu-1)*exp(-mu*y))/Gamma(nu)","Substituted","F"
"aaaaa2","Fecundity","mu = mu_phi0 + mu_phi1*tot_rain + mu_phi2*d_temp","Evaluated","F"
"aaaaa2","Fecundity","nu = nu_phi0 + nu_phi1*tot_rain + nu_phi2*d_temp","Evaluated","F"
"aaaaa3","Survival","s = exp(alpha+beta*size_1)/(1+exp(alpha+beta*size_1))","Evaluated","P"
"aaaaa3","Survival","alpha = alpha_phi0 + alpha_phi1*tot_rain+alpha_phi2*d_temp","Evaluated","P"
"aaaaa3","Survival","beta = beta_phi0 + beta_phi1*tot_rain+alpha_phi2*d_temp","Evaluated","P"
"aaaaa3","Growth","g = (((gamma+ delta* size_2^epsilon)/(zeta + eta*size_2))^(zeta+eta*size_2)*y^(zeta+eta*size_2-1)*exp((gamma+delta*size_2^epsilon*y)/(zeta+eta*size_2)))/Gamma(zeta+eta*size_2)","Substituted","P"
"aaaaa3","Growth","gamma = gamma_phi0 + gamma_phi1*tot_rain+gamma_phi2*d_temp","Evaluated","P"
"aaaaa3","Growth","delta = delta_phi0+ delta_phi1*tot_rain+delta_phi2*d_temp","Evaluated","P"
"aaaaa3","Growth","epsilon = epsilon_phi0 + epsilon_phi1*tot_rain+epsilon_phi2*d_temp","Evaluated","P"
"aaaaa3","Growth","zeta = zeta_phi0 + zeta_phi1 * tot_rain + zeta_phi2 * d_temp","Evaluated","P"
"aaaaa3","Growth","eta = eta_phi0 + eta_phi1*tot_rain + eta_phi2*d_temp","Evaluated","P"
"aaaaa3","Growth","y = gamma + delta * size_2^epsilon","Evaluated","P"
"aaaaa3","Fecundity","f_1 = ifelse(size_1 < C, 0, theta*exp(iota+(kappa*ln(size_1))))","Evaluated","F"
"aaaaa3","Fecundity","theta = theta_phi0 + theta_phi1 * tot_rain + theta_phi2 * d_temp","Evaluated","F"
"aaaaa3","Fecundity","iota = iota_phi0 + iota_phi1 * tot_rain + iota_phi2 * d_temp","Evaluated","F"
"aaaaa3","Fecundity","kappa = kappa_phi0 + kappa_phi1 * tot_rain + kappa_phi2 * d_temp","Evaluated","F"
"aaaaa3","Fecundity","f_2 = (mu^nu*y^(nu-1)*exp(-mu*y))/Gamma(nu)","Substituted","F"
"aaaaa3","Fecundity","mu = mu_phi0 + mu_phi1*tot_rain + mu_phi2*d_temp","Evaluated","F"
"aaaaa3","Fecundity","nu = nu_phi0 + nu_phi1*tot_rain + nu_phi2*d_temp","Evaluated","F"
"aaaaa4","Survival","s = exp(alpha+beta*size_1)/(1+exp(alpha+beta*size_1))","Evaluated","P"
"aaaaa4","Survival","alpha = alpha_phi0 + alpha_phi1*tot_rain+alpha_phi2*d_temp","Evaluated","P"
"aaaaa4","Survival","beta = beta_phi0 + beta_phi1*tot_rain+alpha_phi2*d_temp","Evaluated","P"
"aaaaa4","Growth","g = (((gamma+ delta* size_2^epsilon)/(zeta + eta*size_2))^(zeta+eta*size_2)*y^(zeta+eta*size_2-1)*exp((gamma+delta*size_2^epsilon*y)/(zeta+eta*size_2)))/Gamma(zeta+eta*size_2)","Substituted","P"
"aaaaa4","Growth","gamma = gamma_phi0 + gamma_phi1*tot_rain+gamma_phi2*d_temp","Evaluated","P"
"aaaaa4","Growth","delta = delta_phi0+ delta_phi1*tot_rain+delta_phi2*d_temp","Evaluated","P"
"aaaaa4","Growth","epsilon = epsilon_phi0 + epsilon_phi1*tot_rain+epsilon_phi2*d_temp","Evaluated","P"
